toolmode,project,model,category,accuracy,precision,recall,f1_score,count
NNet&PCir,Meshinger,llama-3.3-70b-instruct,ALL,0.7333,0.6667,0.8462,0.6591,15
NNet&PCir,OPNhydro-r2,claude-sonnet-4.6,component_datasheet,1.0,1.0,1.0,1.0,3
NNet&PCir,OPNhydro-r2,claude-sonnet-4.6,spice_behaviour,0.6,0.3,0.5,0.375,5
NNet&PCir,OPNhydro-r2,claude-sonnet-4.6,theory_layout,0.8571,0.8333,0.9,0.8444,7
NNet&PCir,OPNhydro-r2,claude-sonnet-4.6,ALL,0.8,0.8125,0.85,0.7964,15
NNet&PCir,OPNhydro-r2,gemini-3-flash-preview,component_datasheet,0.6667,0.5,0.3333,0.4,3
NNet&PCir,OPNhydro-r2,gemini-3-flash-preview,spice_behaviour,0.6,0.3,0.5,0.375,5
NNet&PCir,OPNhydro-r2,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,7
NNet&PCir,OPNhydro-r2,gemini-3-flash-preview,ALL,0.8,0.8125,0.85,0.7964,15
NNet&PCir,OPNhydro-r2,gpt-5.4-nano,component_datasheet,0.6667,0.5,0.3333,0.4,3
NNet&PCir,OPNhydro-r2,gpt-5.4-nano,spice_behaviour,0.8,0.875,0.75,0.7619,5
NNet&PCir,OPNhydro-r2,gpt-5.4-nano,theory_layout,0.2857,0.1429,0.5,0.2222,7
NNet&PCir,OPNhydro-r2,gpt-5.4-nano,ALL,0.5333,0.7083,0.65,0.5249,15
NNet&PCir,OPNhydro-r2,llama-3.3-70b-instruct,component_datasheet,1.0,1.0,1.0,1.0,3
NNet&PCir,OPNhydro-r2,llama-3.3-70b-instruct,spice_behaviour,1.0,1.0,1.0,1.0,5
NNet&PCir,OPNhydro-r2,llama-3.3-70b-instruct,theory_layout,0.2857,0.1429,0.5,0.2222,7
NNet&PCir,OPNhydro-r2,llama-3.3-70b-instruct,ALL,0.6667,0.75,0.75,0.6667,15
NNet&PCir,PortalHardware,claude-sonnet-4.6,component_datasheet,0.875,0.875,0.9,0.873,8
NNet&PCir,PortalHardware,claude-sonnet-4.6,spice_behaviour,1.0,1.0,1.0,1.0,2
NNet&PCir,PortalHardware,claude-sonnet-4.6,theory_layout,0.8,0.5,0.4,0.4444,5
NNet&PCir,PortalHardware,claude-sonnet-4.6,ALL,0.8667,0.8,0.9167,0.8295,15
NNet&PCir,PortalHardware,gemini-3-flash-preview,component_datasheet,0.875,0.875,0.9,0.873,8
NNet&PCir,PortalHardware,gemini-3-flash-preview,spice_behaviour,1.0,1.0,1.0,1.0,2
NNet&PCir,PortalHardware,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,5
NNet&PCir,PortalHardware,gemini-3-flash-preview,ALL,0.9333,0.875,0.9583,0.9068,15
NNet&PCir,PortalHardware,gpt-5.4-nano,component_datasheet,0.625,0.75,0.7,0.619,8
NNet&PCir,PortalHardware,gpt-5.4-nano,spice_behaviour,1.0,1.0,1.0,1.0,2
NNet&PCir,PortalHardware,gpt-5.4-nano,theory_layout,0.0,0.0,0.0,0.0,5
NNet&PCir,PortalHardware,gpt-5.4-nano,ALL,0.4667,0.6364,0.6667,0.4643,15
NNet&PCir,PortalHardware,llama-3.3-70b-instruct,component_datasheet,0.625,0.75,0.7,0.619,8
NNet&PCir,PortalHardware,llama-3.3-70b-instruct,spice_behaviour,1.0,1.0,1.0,1.0,2
NNet&PCir,PortalHardware,llama-3.3-70b-instruct,theory_layout,0.6,0.5,0.3,0.375,5
NNet&PCir,PortalHardware,llama-3.3-70b-instruct,ALL,0.6667,0.6875,0.7917,0.6411,15
NNet&PCir,fan_controller,claude-sonnet-4.6,component_datasheet,0.8333,0.75,0.9,0.7778,6
NNet&PCir,fan_controller,claude-sonnet-4.6,spice_behaviour,0.6667,0.6667,0.8,0.625,6
